Words,Tags
"['""', 'Если', 'Миронов', 'занял', 'столь', 'оппозиционную', 'позицию', ',', 'то', 'мне', 'представляется', ',', 'что', 'для', 'него', 'было', 'бы', 'порядочным', 'и', 'правильным', 'уйти', 'в', 'отставку', 'с', 'занимаемого', 'им', 'поста', ',', 'поста', ',', 'который', 'предоставлен', 'ему', 'сегодня', '""', 'Единой', 'Россией', ""''"", 'и', 'никем', 'больше', ""''"", ',', '-', 'заключает', 'Исаев', '.']","[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0]"
"['Источник', '""', 'Ъ', ""''"", 'в', 'руководстве', 'столичной', 'мэрии', 'считает', 'маловероятным', ',', 'что', 'господина', 'Митволя', 'назначили', 'с', 'целью', '""', 'укрепления', 'границ', 'с', 'Подмосковьем', ""''"", '.']","[0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
"['В', 'Ханты-Мансийском', 'автономном', 'округе', 'с', 'должности', 'снят', 'начальник', 'УВД', 'Николай', 'Гудожников', '.']","[0, 1, 4, 4, 0, 0, 0, 0, 3, 6, 5, 0]"
"['С', '1992', 'года', 'по', 'настоящее', 'время', 'является', 'президентом', 'Российского', 'научного', 'центра', '""', 'Курчатовский', 'институт', ""''"", 'I-ORG', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 0, 2, 0, 0, 0, 0]"
"['Для', 'этого', 'ей', 'пришлось', 'выиграть', 'выборы', 'в', 'муниципальном', 'округе', '""', 'Красненькая', 'речка', ""''"", '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0]"
"['В', 'своем', 'интервью', 'наследники', 'Кампрада-старшего', 'рассказали', ',', 'что', 'их', 'участие', 'в', 'управлении', 'IKEA', 'редко', 'афишировалось', ',', 'и', 'что', 'они', 'постепенно', 'приобретали', 'необходимые', 'навыки', '.']","[0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['С.Маккристал', 'утверждает', ',', 'что', 'посол', 'США', 'в', 'Афганистане', 'Карл', 'Айкенберри', 'предал', 'его', 'во', 'время', 'обсуждения', 'в', 'Белом', 'доме', 'вопроса', 'об', 'отправке', 'в', 'Афганистан', 'дополнительных', 'войск', '.']","[6, 0, 0, 0, 0, 1, 0, 1, 6, 5, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 1, 0, 0, 0]"
"['ОАО', '""', 'ВымпелКом', ""''"", 'I-ORG', '-', 'российская', 'компания', ',', 'предоставляющая', 'услуги', 'сотовой', 'и', 'фиксированной', 'связи', ',', 'проводного', 'и', 'беспроводного', 'высокоскоростного', 'доступа', 'в', 'интернет', 'физическим', 'и', 'юридическим', 'лицам', 'под', 'торговой', 'маркой', '""', 'Билайн', ""''"", '.']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
"['Сотрудники', 'УБЭП', 'в', 'масках', 'и', 'с', 'автоматами', 'пришли', 'в', 'здание', 'спорткомплекса', 'незадолго', 'до', 'матча', 'четвертьфинала', 'Лиги', 'Европы', 'между', '""', 'Спартаком', ""''"", 'и', '""', 'Порту', ""''"", '.']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0]"
"['Напомним', ',', 'Дж.Н.Кханал', 'был', 'избран', 'в', 'результате', 'голосования', 'в', 'феврале', '2011г.', ',', 'однако', 'вынужден', 'уйти', 'под', 'давлением', 'оппозиции', '.']","[0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
